affected_entity_1_rel	affected_entity_1_sub	affected_entity_1_super	affected_entity_2_rel	affected_entity_2_sub	affected_entity_2_super	id	iri	pato_id	pattern
BFO:0000050	GO:0030424	ZFA:0009125				GO:0030424-BFO:0000050-ZFA:0009125-PATO:0000937-0-0-0	ZP:0000090	PATO:0000937	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityPartOfThing.yaml
		ZFA:0009367				0-0-ZFA:0009367-PATO:0001997-0-0-0	ZP:0000091	PATO:0001997	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		GO:0004853				0-0-GO:0004853-PATO:0000911-0-0-0	ZP:0000092	PATO:0000911	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		GO:0006778				0-0-GO:0006778-PATO:0001507-0-0-0	ZP:0000093	PATO:0001507	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000007				0-0-ZFA:0000007-PATO:0000001-0-0-0	ZP:0000094	PATO:0000001	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0001094				0-0-ZFA:0001094-PATO:0000718-0-0-0	ZP:0000095	PATO:0000718	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0009256				0-0-ZFA:0009256-PATO:0000018-0-0-0	ZP:0000096	PATO:0000018	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		GO:0001706				0-0-GO:0001706-PATO:0001236-0-0-0	ZP:0000097	PATO:0001236	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		GO:0001714				0-0-GO:0001714-PATO:0001507-0-0-0	ZP:0000098	PATO:0001507	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		GO:0021999				0-0-GO:0021999-PATO:0000297-0-0-0	ZP:0000099	PATO:0000297	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000008				0-0-ZFA:0000008-PATO:0000051-0-0-0	ZP:0000100	PATO:0000051	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
BFO:0000050	ZFA:0009139	ZFA:0000017				ZFA:0009139-BFO:0000050-ZFA:0000017-PATO:0001997-0-0-0	ZP:0000101	PATO:0001997	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityPartOfThing.yaml
		ZFA:0000084				0-0-ZFA:0000084-PATO:0000586-0-0-0	ZP:0000102	PATO:0000586	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000106				0-0-ZFA:0000106-PATO:0000574-0-0-0	ZP:0000103	PATO:0000574	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000106				0-0-ZFA:0000106-PATO:0000591-0-0-0	ZP:0000104	PATO:0000591	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
		ZFA:0000110				0-0-ZFA:0000110-PATO:0001478-0-0-0	ZP:0000105	PATO:0001478	https://raw.githubusercontent.com/obophenotype/zebrafish-phenotype-ontology/master/src/patterns/dosdp-patterns/abnormalQualityOfThing.yaml
