affected_entity_1_sub	affected_entity_1_super	affected_entity_2_super	defined_class	pato_id
BSPO:0000084	ZFA:0001115	ZFA:0009090	ZP:0131027	PATO:0002002
ZFA:0009000	ZFA:0001616	ZFA:0001320	ZP:0131088	PATO:0001646
GO:0098723	ZFA:0005277	ZFA:0001089	ZP:0131165	PATO:0001453
BSPO:0000061	ZFA:0005567	ZFA:0000144	ZP:0137434	PATO:0001999
ZFA:0000413	ZFA:0000242	ZFA:0005882	ZP:0137634	PATO:0002001
ZFA:0000413	ZFA:0000242	ZFA:0001110	ZP:0137635	PATO:0002002
GO:0043005	ZFA:0005731	ZFA:0001032	ZP:0137675	PATO:0000133
ZFA:0009114	ZFA:0001056	ZFA:0001056	ZP:0137783	PATO:0001453
ZFA:0009114	ZFA:0001056	ZFA:0000610	ZP:0137786	PATO:0002464
ZFA:0001269	ZFA:0001058	ZFA:0009327	ZP:0138193	PATO:0002270
ZFA:0001269	ZFA:0001058	ZFA:0009327	ZP:0138194	PATO:0002271
ZFA:0009000	ZFA:0000152	ZFA:0000152	ZP:0138483	PATO:0001453
ZFA:0001079	ZFA:0000128	ZFA:0005314	ZP:0139712	PATO:0002001
ZFA:0009000	ZFA:0001202	ZFA:0001202	ZP:0139760	PATO:0000133
BSPO:0000672	ZFA:0000100	ZFA:0009248	ZP:0139831	PATO:0002001
BSPO:0000070	ZFA:0005097	ZFA:0009141	ZP:0139882	PATO:0002002
BSPO:0000070	ZFA:0005097	ZFA:0009327	ZP:0139883	PATO:0002002
ZFA:0009000	ZFA:0001180	ZFA:0000105	ZP:0139912	PATO:0001646
BSPO:0000079	ZFA:0001114	ZFA:0009091	ZP:0139944	PATO:0002270
BSPO:0000069	ZFA:0001706	ZFA:0009071	ZP:0140416	PATO:0002001
BSPO:0000056	ZFA:0001094	ZFA:0009327	ZP:0140936	PATO:0001999
ZFA:0005314	ZFA:0000152	ZFA:0005604	ZP:0141012	PATO:0002002
ZFA:0001079	ZFA:0000128	ZFA:0009141	ZP:0141088	PATO:0002001
ZFA:0009006	ZFA:0000598	ZFA:0000598	ZP:0141279	PATO:0001163
BSPO:0000068	ZFA:0000075	ZFA:0009076	ZP:0141404	PATO:0001905
MPATH:352	ZFA:0000123	ZFA:0000242	ZP:0141521	PATO:0002361
BSPO:0000013	ZFA:0001205	ZFA:0001400	ZP:0141523	PATO:0000375
BSPO:0000070	ZFA:0001202	ZFA:0009165	ZP:0141645	PATO:0002001
BSPO:0000070	ZFA:0001202	ZFA:0009165	ZP:0141646	PATO:0001999
BSPO:0000070	ZFA:0001202	ZFA:0009165	ZP:0141651	PATO:0001905
BSPO:0000070	ZFA:0000076	ZFA:0009082	ZP:0142298	PATO:0002270
BSPO:0000070	ZFA:0000084	ZFA:0009082	ZP:0142299	PATO:0002270
BSPO:0000071	ZFA:0000588	ZFA:0009248	ZP:0142411	PATO:0002001
BSPO:0000072	ZFA:0000588	ZFA:0009248	ZP:0142412	PATO:0001905
BSPO:0000072	ZFA:0000588	ZFA:0009248	ZP:0142421	PATO:0002001
ZFA:0005250	ZFA:0005094	ZFA:0001464	ZP:0142545	PATO:0002168
ZFA:0005250	ZFA:0005094	ZFA:0001466	ZP:0142596	PATO:0002168
