affected_entity_1_super	affected_entity_2_sub	affected_entity_2_super	defined_class	pato_id
ZFA:0000115	ZFA:0000092	ZFA:0001094	ZP:0007042	PATO:0002168
ZFA:0000143	GO:0001750	ZFA:0009127	ZP:0007135	PATO:0002000
ZFA:0009116	GO:0030016	ZFA:0009116	ZP:0007169	PATO:0002001
ZFA:0000114	BSPO:0000013	ZFA:0001094	ZP:0007338	PATO:0001793
ZFA:0000115	BSPO:0000013	ZFA:0001094	ZP:0007340	PATO:0001793
ZFA:0000123	BSPO:0000013	ZFA:0001094	ZP:0007341	PATO:0001793
ZFA:0000175	GO:0005604	ZFA:0000105	ZP:0007521	PATO:0001193
ZFA:0000940	GO:0060091	ZFA:0000243	ZP:0007908	PATO:0002001
ZFA:0000471	GO:0030017	ZFA:0009316	ZP:0008027	PATO:0001999
ZFA:0000471	GO:0030018	ZFA:0009316	ZP:0008028	PATO:0001999
ZFA:0005277	GO:0030016	ZFA:0009116	ZP:0008032	PATO:0001999
ZFA:0009115	GO:0016020	ZFA:0009115	ZP:0008121	PATO:0002002
ZFA:0000001	GO:0005929	ZFA:0009035	ZP:0008331	PATO:0002000
ZFA:0000150	GO:0005929	ZFA:0009035	ZP:0008332	PATO:0001999
ZFA:0000678	GO:0005771	ZFA:0000678	ZP:0008446	PATO:0002002
ZFA:0000001	GO:0005929	ZFA:0009035	ZP:0008476	PATO:0002001
ZFA:0000360	BSPO:0000007	ZFA:0001094	ZP:0008481	PATO:0002168
ZFA:0000360	BSPO:0000075	ZFA:0001094	ZP:0008482	PATO:0002168
ZFA:0001326	GO:0005634	ZFA:0009034	ZP:0008517	PATO:0002002
ZFA:0001094	GO:0005833	ZFA:0009256	ZP:0008627	PATO:0002001
ZFA:0001285	GO:0030175	ZFA:0009303	ZP:0008757	PATO:0002002
ZFA:0000242	ZFA:0001287	ZFA:0000669	ZP:0009033	PATO:0002001
ZFA:0000242	ZFA:0009354	ZFA:0000669	ZP:0009034	PATO:0002001
ZFA:0009306	BSPO:0000063	ZFA:0001261	ZP:0009099	PATO:0001852
ZFA:0005145	GO:0016529	ZFA:0009114	ZP:0009141	PATO:0002001
ZFA:0009244	GO:0043005	ZFA:0009244	ZP:0009151	PATO:0002001
ZFA:0000114	BSPO:0000007	ZFA:0001094	ZP:0009251	PATO:0002168
ZFA:0000114	BSPO:0000067	ZFA:0001094	ZP:0009252	PATO:0002168
ZFA:0009036	GO:0005911	ZFA:0009036	ZP:0009462	PATO:0002001
ZFA:0001094	ZFA:0009248	ZFA:0000200	ZP:0009602	PATO:0002000
ZFA:0001507	BSPO:0000072	ZFA:0001580	ZP:0009843	PATO:0000651
ZFA:0009115	GO:0032982	ZFA:0009115	ZP:0009905	PATO:0002001
ZFA:0009316	GO:0032982	ZFA:0009316	ZP:0009906	PATO:0002001
ZFA:0000123	BSPO:0000017	ZFA:0001094	ZP:0010051	PATO:0000133
